stop_id,stop_code,stop_name,stop_lat,stop_lon
2821,10027,"pl. Nowy Targ",51.1103870600,17.0391595200
2822,10026,"pl. Nowy Targ",51.1104065200,17.0390255800
2828,29104,"Psie Pole",51.1458299700,17.1114953800
2831,17736,"Żernicka",51.1259829900,16.9143855900
2832,17735,"Żernicka",51.1257694600,16.9117077800
2836,24144,"KROMERA",51.1319931000,17.0658681500
2837,911927,"Wilkszyn - Graniczna",51.2049600000,16.8524490000
2838,911938,"Pisarzowice - Szkolna",51.2076417000,16.8541533600
2839,911939,"Pisarzowice - Szkolna",51.2083870200,16.8539674000
2840,911940,"Pisarzowice - Kolejowa",51.2096543300,16.8536326800
2841,991941,"Pisarzowice - Kolejowa",51.2110552800,16.8533437200
2842,991937,"Pisarzowice - Wrocławska",51.2055447600,16.8550459700
2843,911936,"Pisarzowice - Wrocławska",51.2059420800,16.8547527200
2848,17126,"Jordanowska",51.0796664900,16.9574772400
2849,18330,"Ratyń - skrzyżowanie",51.1302853900,16.8476622600
2853,812901,"SAMOTWÓR-PAŁAC",51.1029664400,16.8312571600
2854,10538,"Pl. SOLIDARNOŚCI",51.1134095900,17.0179614400
2855,11707,"FAT",51.0951428800,16.9794631200
2858,21171,"Orzechowa",51.0829566500,17.0418044700
2859,21122,"DWORZEC GŁ. PKP",51.0972446200,17.0350921200
2861,11711,"FAT",51.0945698500,16.9778035600
2863,11726,"FAT",51.0937556100,16.9803761500
2864,16725,"KLECINA (Stacja kolejowa)",51.0561987000,16.9868394400
2865,110005,"Rynek",51.1112028100,17.0270362800
2866,121004,"Dyrekcyjna",51.0940895400,17.0338478400
2867,20920,"PL. GRUNWALDZKI",51.1119811600,17.0640336000
2868,20729,"Mosty Warszawskie",51.1286346300,17.0560976100
2869,17726,"Szkoła Żerniki",51.1211917700,16.9268594700
2870,23309,"RĘDZIN",51.1661503100,16.9667358800
2871,29551,"Pawłowicka",51.1696058800,17.1132082300
2873,12904,"KUŹNIKI",51.1229402500,16.9495126200
2875,17314,"MIŃSKA (Rondo Rotm. Pileckiego)",51.1072206500,16.9494872000
2876,17313,"MIŃSKA (Rondo Rotm. Pileckiego)",51.1075314500,16.9495754800
2877,11320,"EPI",51.0981254200,17.0317100300
2878,17110,"Ibn Siny Avicenny",51.0883341100,16.9523855800
2879,17111,"Ibn Siny Avicenny",51.0871151300,16.9528231600
2880,24509,"BARTOSZOWICE",51.1025481000,17.1160670600
2881,24140,"KROMERA",51.1320326100,17.0655881200
2882,20313,"pl. Wróblewskiego",51.1060485300,17.0463805200
2883,120625,"Jedności Narodowej",51.1206413900,17.0429773900
2884,12121,"Nowy Dwór",51.1124954700,16.9596744000
2885,12107,"Nowodworska",51.1138580300,16.9647181400
2886,12108,"Nowodworska",51.1137697500,16.9647924500
2894,12610,"KOZANÓW (Dokerska)",51.1411263700,16.9640126500
2899,29538,"Pawłowicka",51.1683533300,17.1126890200
2904,17727,"JERZMANOWO (Cmentarz I)",51.1240939500,16.8850145500
2905,25316,"Chińska",51.0604299400,17.0832314300
2906,25308,"Semaforowa",51.0617030100,17.0795609300
2919,21159,"Złotostocka",51.0771464300,17.0603034800
2920,21158,"Złotostocka",51.0773453200,17.0618224100
2925,326930,"Kiełczów ""Biedronka""",51.1428818600,17.1649140200
2926,326924,"Kiełczów Ładna",51.1440703700,17.1565970400
2927,326943,"Kiełczów - Zgodna",51.1370929700,17.1904095400
2928,326941,"KIEŁCZÓW (pętla)",51.1394580800,17.1790942600
2929,326942,"Kiełczów (pętla)/Wrocławska",51.1390512100,17.1812691000
2930,326971,"Kiełczów - Wrocławska",51.1400901700,17.1716249900
2931,326970,"Kiełczów - Wrocławska",51.1402701500,17.1709229900
2932,326923,"Kiełczów Sosnowa",51.1438409400,17.1573375700
2933,326929,"Kiełczów ""Biedronka""",51.1427735500,17.1650197100
2934,326946,"Kiełczów - Mleczna",51.1385314600,17.1790500400
2935,29108,"BIERUTOWSKA (Ośrodek zdrowia)",51.1513698900,17.1293076300
2937,17130,"Kwiatkowskiego (Rondo)",51.0725259700,16.9536394100
2941,326944,"Kiełczów - Boczna",51.1371801400,17.1906700200
